001	ไอคอน
002	กำลังโหลดคอมโพเนนต์...
003	ป้ายกำกับ
004	ช่องป้อนข้อมูล
005	เมนู
006	คอนเทนเนอร์
007	อัปเดตอัตโนมัติ
008	ภาพสไลด์
009	เอฟเฟ็กต์
010	การตอบกลับ
011	แผนภูมิ
012	ปุ่ม
013	กำลังโหลด
014	การตั้งค่า
015	การนำทาง
016	การ์ด
017	เกิดข้อผิดพลาด
018	ดำเนินการสำเร็จ
019	ต้องตรวจสอบ
020	ข้อมูล
021	กำลังประมวลผล...
022	InfoBar
023	วงแหวนความคืบหน้า
024	แถบความคืบหน้า 60%
025	กำลังประมวลผล...
026	คุณสมบัติความคืบหน้า Toast สี่แบบ
027	กำลังดาวน์โหลด...
028	กำลังซิงค์...
029	อัปโหลด
030	วงแหวนความคืบหน้า 40%
031	กำลังอัปโหลด...
032	แถบความคืบหน้าแบบไม่กำหนดค่า
033	กำลังซิงค์ข้อมูล...
034	ประมวลผล
035	โปรดรอ...
036	โหมดความคืบหน้า InfoBar
037	คุณสมบัติความคืบหน้า InfoBar สี่แบบ
038	ซิงค์
039	วงแหวนความคืบหน้าแบบไม่กำหนดค่า
040	แถบความคืบหน้า
041	โหมดความคืบหน้า Toast
042	ดาวน์โหลด
043	กำลังดาวน์โหลดไฟล์...
044	เส้นทางตัวติดตั้ง DRY ไม่ถูกต้อง
045	การสาธิต DRY เสร็จสิ้น: จำลองการส่งต่อการติดตั้งแบบเงียบแล้ว; ไม่มีการดาวน์โหลดไฟล์และไม่ได้เปิดตัวติดตั้ง
046	DRY: กำลังจำลองการตรวจสอบอัปเดต...
047	DRY: การดาวน์โหลดจำลอง<SP>
048	- จำลองความคืบหน้าการดาวน์โหลดจาก 0% ถึง 100%<NL>
049	- จำลองการส่งต่อการติดตั้งแบบเงียบของ Inno Setup โดยไม่สร้างไฟล์หรือเปิดโปรแกรม
050	โหมด DRY จะไม่เปิดหน้าภายนอก
051	DRY: การดาวน์โหลดจำลองเสร็จสิ้น; กำลังส่งต่อการติดตั้ง
052	- แสดงกล่องยืนยันการอัปเดตจริง<NL>
053	การดาวน์โหลดจำลอง DRY กำลังดำเนินการ
054	DRY: กำลังเตรียมการดาวน์โหลดจำลอง
055	โทเค็นดาวน์โหลด DRY ไม่ถูกต้อง
056	DRY: ส่งต่อการติดตั้งไม่สำเร็จ
057	DRY: ส่งต่อการติดตั้งแบบสองสล็อตไม่สำเร็จ
058	DRY: เตรียมสองสล็อตเสร็จสิ้น; จะสลับอัตโนมัติในการเปิดครั้งถัดไป
059	DRY: กำลังเตรียมสล็อตที่ไม่ได้ใช้งานในเบื้องหลัง
060	DRY: พบเวอร์ชันจำลอง; รอการยืนยัน
061	กำลังดำเนินการสาธิต DRY
062	## อัปเดตสาธิต DRY<NL><NL>
063	, รอการยืนยัน
064	สาธิตการตรวจสอบ การยืนยัน ความคืบหน้าการดาวน์โหลด การเขียนไปยังสล็อตที่ไม่ได้ใช้งานในเบื้องหลัง และการสลับในการเปิดครั้งถัดไป; ระบบจะไม่เข้าถึงเครือข่าย สร้างไฟล์ หรือเปิดตัวติดตั้ง
065	Toast ด้านล่างขวา
066	2. ใช้ UpdateDialog จริงเพื่อแสดงบันทึกและยืนยัน “ดาวน์โหลดและติดตั้ง”
067	ใช้ Updater จริงที่ Gallery ส่งเข้ามาเพื่อตรวจสอบ Releases; โหมดนี้อาจเข้าถึงเครือข่ายและเปิดหน้ารีลีส
068	ตรวจพบล่าสุด:
069	3. แสดงความคืบหน้าการดาวน์โหลดแบบกำหนดค่าหรือไม่กำหนดค่าด้วย Toast หรือ ProgressDialog
070	ผู้ใช้จะเห็นกล่องโต้ตอบจริงและการตอบกลับความคืบหน้า แต่จะไม่มีผลข้างเคียงจากการติดตั้ง
071	โหมด Release จริง
072	การสาธิต DRY ดาวน์โหลดและติดตั้ง
073	เวอร์ชันปัจจุบัน:
074	โหมดสาธิต DRY (การจำลองที่ปลอดภัย)
075	ตรวจพบล่าสุด: ไม่มี
076	กระบวนการอัปเดต
077	กำลังจำลองการตรวจสอบ...
078	Gallery สาธิตโดยตรงว่าคอมโพเนนต์ส่วนหน้าใช้ประสาน Updater, UpdateDialog และตัวแสดงการตอบกลับที่เปลี่ยนได้อย่างไร
079	พบเวอร์ชันใหม่<SP>
080	เริ่มการสาธิต DRY
081	ยืนยันการดาวน์โหลดแล้ว<SP>
082	กำลังเตรียมในเบื้องหลัง...
083	1. ตรวจสอบ GitHub Releases และเปรียบเทียบกับเวอร์ชันปัจจุบัน
084	แหล่งที่มาของการสาธิต:
085	2. แสดงบันทึกรีลีสและกล่องยืนยันเมื่อพบเวอร์ชันใหม่
086	ตรวจสอบอัปเดต
087	ยังไม่ได้กำหนดค่า
088	4. ในโหมดสองสล็อต ให้แทนที่สล็อตที่ไม่ได้ใช้งานในเบื้องหลังและสลับเป็นเวอร์ชันใหม่ในการเปิดครั้งถัดไป
089	เป็นเวอร์ชันล่าสุดแล้ว<SP>
090	ที่เก็บโค้ด:
091	โหมดจริงใช้งานไม่ได้: Gallery ไม่ได้ส่ง appUpdater เข้ามา
092	โหมดจริง: ยังไม่ได้ตรวจสอบ
093	1. จำลองการตรวจสอบและส่งคืนเวอร์ชันสาธิต
094	3. ใช้ Toast หรือ ProgressDialog จริงเพื่อเพิ่มความคืบหน้าจำลองถึง 100%
095	ตรวจสอบไม่สำเร็จ:
096	โหมด DRY: รอเริ่มการสาธิต
097	4. จำลองการแทนที่สล็อตที่ไม่ได้ใช้งานในเบื้องหลังด้วย Inno Setup; ให้เวอร์ชันนี้ทำงานต่อและสลับในการเปิดครั้งถัดไป
098	ขั้นตอนอัปเดตจริงผ่าน GitHub Releases
099	DRY: พบเวอร์ชันจำลอง<SP>
100	โหมดจริงต้องอาศัย Release ที่มีไฟล์ติดตั้งสำหรับแพลตฟอร์มปัจจุบัน
101	กำลังตรวจสอบ...
102	ปุ่ม - การผสม ToolButton และคุณสมบัติ
103	แก้ไข
104	ข้อความเท่านั้น (Push)
105	ผสมกับป้ายจำนวน (Badge)
106	ปุ่ม - ปุ่มนับถอยหลังที่ผสมกับทุกสไตล์
107	การผสมสไตล์และคุณสมบัติ (indeterminate_ring)
108	ลบ
109	ปุ่ม - สไตล์ ToolButton (6)
110	การทำงาน B
111	การผสมสไตล์, Pill และ Dropdown/Split
112	ส่งรหัสยืนยัน
113	ไอคอนเท่านั้น → สไตล์ ToolButton; ข้อความหรือไอคอน + ข้อความ → สไตล์ PushButton
114	เมนู:
115	ปุ่ม - สไตล์ × รูปร่าง Pill × คุณสมบัติความคืบหน้า
116	ปุ่ม - รูปแบบ Filled: ไม่มีพื้นหลัง, ข้อความสีตามสถานะ
